start,end,weight
S_0,S_22,1.0
S_0,S_41,1.0
S_0,S_52,1.0
S_0,S_67,1.0
S_0,S_99,1.0
S_0,S_104,1.0
S_0,S_135,1.0
S_0,S_141,1.0
S_0,S_142,1.0
S_0,S_157,1.0
S_0,S_169,1.0
S_0,S_185,1.0
S_0,S_198,1.0
S_0,S_220,1.0
S_0,S_246,1.0
S_0,S_248,1.0
S_0,S_250,1.0
S_0,S_255,1.0
S_0,S_259,1.0
S_0,S_261,1.0
S_0,S_265,1.0
S_0,S_272,1.0
S_0,S_274,1.0
S_0,S_294,1.0
S_0,S_304,1.0
S_0,S_308,1.0
S_0,S_327,1.0
S_0,S_408,1.0
S_0,S_496,1.0
S_0,S_499,1.0
S_0,S_500,1.0
S_0,S_514,1.0
S_0,S_664,1.0
S_0,S_698,1.0
S_0,S_700,1.0
S_1,S_15,1.0
S_1,S_16,1.0
S_1,S_20,1.0
S_1,S_30,1.0
S_1,S_33,1.0
S_1,S_73,1.0
S_1,S_79,1.0
S_1,S_81,1.0
S_1,S_85,1.0
S_1,S_94,1.0
S_1,S_100,1.0
S_1,S_106,1.0
S_1,S_117,1.0
S_1,S_125,1.0
S_1,S_126,1.0
S_1,S_138,1.0
S_1,S_152,1.0
S_1,S_163,1.0
S_1,S_182,1.0
S_1,S_238,1.0
S_1,S_276,1.0
S_1,S_279,1.0
S_1,S_482,1.0
S_1,S_520,1.0
S_1,S_525,1.0
S_1,S_529,1.0
S_1,S_642,1.0
S_1,S_690,1.0
S_1,S_696,1.0
S_1,S_708,1.0
S_2,S_4,1.0
S_2,S_7,1.0
S_2,S_11,1.0
S_2,S_12,1.0
S_2,S_17,1.0
S_2,S_18,1.0
S_2,S_24,1.0
S_2,S_27,1.0
S_2,S_28,1.0
S_2,S_31,1.0
S_2,S_32,1.0
S_2,S_37,1.0
S_2,S_40,1.0
S_2,S_42,1.0
S_2,S_45,1.0
S_2,S_50,1.0
S_2,S_59,1.0
S_2,S_62,1.0
S_2,S_64,1.0
S_2,S_71,1.0
S_2,S_83,1.0
S_2,S_87,1.0
S_2,S_91,1.0
S_2,S_92,1.0
S_2,S_108,1.0
S_2,S_112,1.0
S_2,S_116,1.0
S_2,S_119,1.0
S_2,S_122,1.0
S_2,S_130,1.0
S_2,S_131,1.0
S_2,S_144,1.0
S_2,S_174,1.0
S_2,S_175,1.0
S_2,S_191,1.0
S_2,S_202,1.0
S_2,S_218,1.0
S_2,S_224,1.0
S_2,S_228,1.0
S_2,S_240,1.0
S_2,S_256,1.0
S_2,S_264,1.0
S_2,S_320,1.0
S_2,S_515,1.0
S_2,S_524,1.0
S_2,S_526,1.0
S_2,S_528,1.0
S_2,S_620,1.0
S_2,S_699,1.0
S_3,S_11,1.0
S_3,S_23,1.0
S_3,S_24,1.0
S_3,S_40,1.0
S_3,S_42,1.0
S_3,S_53,1.0
S_3,S_57,1.0
S_3,S_62,1.0
S_3,S_68,1.0
S_3,S_80,1.0
S_3,S_83,1.0
S_3,S_92,1.0
S_3,S_97,1.0
S_3,S_105,1.0
S_3,S_119,1.0
S_3,S_146,1.0
S_3,S_148,1.0
S_3,S_165,1.0
S_3,S_166,1.0
S_3,S_172,1.0
S_3,S_176,1.0
S_3,S_193,1.0
S_3,S_200,1.0
S_3,S_204,1.0
S_3,S_207,1.0
S_3,S_214,1.0
S_3,S_222,1.0
S_3,S_225,1.0
S_3,S_256,1.0
S_3,S_258,1.0
S_3,S_269,1.0
S_3,S_282,1.0
S_3,S_288,1.0
S_3,S_303,1.0
S_3,S_306,1.0
S_3,S_314,1.0
S_3,S_328,1.0
S_3,S_524,1.0
S_3,S_528,1.0
S_3,S_620,1.0
S_3,S_675,1.0
S_4,S_2,1.0
S_4,S_12,1.0
S_4,S_17,1.0
S_4,S_18,1.0
S_4,S_27,1.0
S_4,S_28,1.0
S_4,S_31,1.0
S_4,S_32,1.0
S_4,S_37,1.0
S_4,S_43,1.0
S_4,S_45,1.0
S_4,S_59,1.0
S_4,S_62,1.0
S_4,S_64,1.0
S_4,S_69,1.0
S_4,S_71,1.0
S_4,S_72,1.0
S_4,S_73,1.0
S_4,S_87,1.0
S_4,S_92,1.0
S_4,S_112,1.0
S_4,S_116,1.0
S_4,S_119,1.0
S_4,S_122,1.0
S_4,S_123,1.0
S_4,S_130,1.0
S_4,S_131,1.0
S_4,S_144,1.0
S_4,S_170,1.0
S_4,S_174,1.0
S_4,S_175,1.0
S_4,S_183,1.0
S_4,S_191,1.0
S_4,S_197,1.0
S_4,S_199,1.0
