,start,end,weight
0,S_0,S_5,1.0
1,S_0,S_8,1.0
2,S_0,S_9,1.0
3,S_0,S_14,1.0
4,S_0,S_22,1.0
5,S_0,S_25,1.0
6,S_0,S_41,1.0
7,S_0,S_51,1.0
8,S_0,S_96,1.0
9,S_0,S_103,1.0
10,S_0,S_104,1.0
11,S_0,S_127,1.0
12,S_0,S_135,1.0
13,S_0,S_141,1.0
14,S_0,S_151,1.0
15,S_0,S_248,1.0
16,S_0,S_255,1.0
17,S_0,S_265,1.0
18,S_0,S_272,1.0
19,S_0,S_274,1.0
20,S_0,S_301,1.0
21,S_0,S_304,1.0
22,S_0,S_451,1.0
23,S_0,S_465,1.0
24,S_0,S_470,1.0
25,S_0,S_474,1.0
26,S_0,S_496,1.0
27,S_1,S_13,1.0
28,S_1,S_14,1.0
29,S_1,S_15,1.0
30,S_1,S_16,1.0
31,S_1,S_22,1.0
32,S_1,S_28,1.0
33,S_1,S_30,1.0
34,S_1,S_43,1.0
35,S_1,S_47,1.0
36,S_1,S_48,1.0
37,S_1,S_59,1.0
38,S_1,S_69,1.0
39,S_1,S_70,1.0
40,S_1,S_72,1.0
41,S_1,S_73,1.0
42,S_1,S_74,1.0
43,S_1,S_79,1.0
44,S_1,S_81,1.0
45,S_1,S_82,1.0
46,S_1,S_87,1.0
47,S_1,S_94,1.0
48,S_1,S_123,1.0
49,S_1,S_124,1.0
50,S_1,S_125,1.0
51,S_1,S_126,1.0
52,S_1,S_129,1.0
53,S_1,S_136,1.0
54,S_1,S_137,1.0
55,S_1,S_138,1.0
56,S_1,S_151,1.0
57,S_1,S_161,1.0
58,S_1,S_162,1.0
59,S_1,S_163,1.0
60,S_1,S_167,1.0
61,S_1,S_170,1.0
62,S_1,S_173,1.0
63,S_1,S_174,1.0
64,S_1,S_179,1.0
65,S_1,S_181,1.0
66,S_1,S_182,1.0
67,S_1,S_197,1.0
68,S_1,S_199,1.0
69,S_1,S_211,1.0
70,S_1,S_218,1.0
71,S_1,S_230,1.0
72,S_1,S_234,1.0
73,S_1,S_236,1.0
74,S_1,S_239,1.0
75,S_1,S_276,1.0
76,S_1,S_279,1.0
77,S_1,S_300,1.0
78,S_1,S_330,1.0
79,S_1,S_331,1.0
80,S_1,S_419,1.0
81,S_1,S_482,1.0
82,S_1,S_520,1.0
83,S_1,S_642,1.0
84,S_2,S_4,1.0
85,S_2,S_5,1.0
86,S_2,S_6,1.0
87,S_2,S_7,1.0
88,S_2,S_11,1.0
89,S_2,S_12,1.0
90,S_2,S_17,1.0
91,S_2,S_18,1.0
92,S_2,S_22,1.0
93,S_2,S_23,1.0
94,S_2,S_27,1.0
95,S_2,S_28,1.0
96,S_2,S_31,1.0
97,S_2,S_39,1.0
98,S_2,S_43,1.0
99,S_2,S_45,1.0
100,S_2,S_47,1.0
101,S_2,S_49,1.0
102,S_2,S_50,1.0
103,S_2,S_59,1.0
104,S_2,S_62,1.0
105,S_2,S_64,1.0
106,S_2,S_70,1.0
107,S_2,S_72,1.0
108,S_2,S_83,1.0
109,S_2,S_87,1.0
110,S_2,S_91,1.0
111,S_2,S_92,1.0
112,S_2,S_93,1.0
113,S_2,S_101,1.0
114,S_2,S_102,1.0
115,S_2,S_105,1.0
116,S_2,S_108,1.0
117,S_2,S_116,1.0
118,S_2,S_122,1.0
119,S_2,S_123,1.0
120,S_2,S_131,1.0
121,S_2,S_136,1.0
122,S_2,S_144,1.0
123,S_2,S_152,1.0
124,S_2,S_161,1.0
125,S_2,S_170,1.0
126,S_2,S_174,1.0
127,S_2,S_175,1.0
128,S_2,S_191,1.0
129,S_2,S_197,1.0
130,S_2,S_199,1.0
131,S_2,S_202,1.0
132,S_2,S_214,1.0
133,S_2,S_218,1.0
134,S_2,S_228,1.0
135,S_2,S_240,1.0
