,latitude,longitude,remark
S_0,40.74177603,-74.00149746,W 17 St & 8 Ave
S_1,40.69608941,-73.97803415,Park Ave & St Edwards St
S_2,40.68676793,-73.95928168,Lexington Ave & Classon Ave
S_3,40.73172428,-74.00674436,Barrow St & Hudson St
S_4,40.72710258,-74.00297088,MacDougal St & Prince St
S_5,40.761628,-73.972924,E 56 St & Madison Ave
S_6,40.69239502,-73.99337909,Clinton St & Joralemon St
S_7,40.69839895,-73.98068914,Nassau St & Navy St
S_8,40.71625008,-74.0091059,Hudson St & Reade St
S_9,40.71542197,-74.01121978,Greenwich St & Warren St
S_10,40.7208736,-73.98085795,E 2 St & Avenue C
S_11,40.7218158,-73.99720307,Cleveland Pl & Spring St
S_12,40.71473993,-74.00910627,Warren St & Church St
S_13,40.752062307,-73.9816324043,E 40 St & 5 Ave
S_14,40.69089272,-73.99612349,Henry St & Atlantic Ave
S_15,40.748238,-73.978311,E 37 St & Lexington Ave
S_16,40.72917025,-73.99810231,LaGuardia Pl & W 3 St
S_17,40.75323098,-73.97032517,E 47 St & 2 Ave
S_18,40.7489006,-73.97604882,E 39 St & 3 Ave
S_19,40.73971301,-73.99456405,W 18 St & 6 Ave
S_20,40.76064679,-73.98442659,Broadway & W 49 St
S_21,40.7381765,-73.97738662,E 25 St & 1 Ave
S_22,40.70905623,-74.01043382,Liberty St & Broadway
S_23,40.70255088,-73.98940236,Front St & Washington St
S_24,40.69892054,-73.97332996,7 Ave & Farragut St
S_25,40.716887,-73.963198,Wythe Ave & Metropolitan Ave
S_26,40.73416059,-73.98024289,1 Ave & E 18 St
S_27,40.724399,-74.004704,1 Ave & E 30 St
S_28,40.70531194,-73.97100056,Railroad Ave & Kay Ave
S_29,40.76590936,-73.97634151,Central Park S & 6 Ave
S_30,40.70569254,-74.01677685,Little West St & 1 Pl
S_31,40.71117444,-73.99682619,Catherine St & Monroe St
S_32,40.72165481,-74.00234737,Grand St & Greene St
S_33,40.739445,-73.976806,E 27 St & 1 Ave
S_34,40.75022392,-73.97121414,E 43 St & 2 Ave
S_35,40.75929124,-73.98859651,W 45 St & 8 Ave
S_36,40.75849116,-73.95920622,E 59 St & Sutton Pl
S_37,40.75968085,-73.97031366,E 55 St & Lexington Ave
S_38,40.74334935,-74.00681753,W 16 St & The High Line
S_39,40.70037867,-73.99548059,Columbia Heights & Cranberry St
S_40,40.70277159,-73.99383605,Old Fulton St
S_41,40.69028437,-73.98707105,Gallatin Pl & Livingston St
S_42,40.73781509,-73.99994661,W 13 St & 7 Ave
S_43,40.71146364,-74.00552427,Spruce St & Nassau St
S_44,40.74195138,-74.00803013,W 14 St & The High Line
S_45,40.7546011026,-73.971878855,E 48 St & 3 Ave
S_46,40.72743423,-73.99379025,Great Jones St
S_47,40.69597683,-73.99014892,Cadman Plaza E & Tillary St
S_48,40.69246277,-73.98963911,Joralemon St & Adams St
S_49,40.7284186,-73.98713956,St Marks Pl & 2 Ave
S_50,40.73047309,-73.98672378,E 11 St & 2 Ave
S_51,40.7361967,-74.00859207,Bank St & Washington St
S_52,40.69196566,-73.9813018,Willoughby St & Fleet St
S_53,40.68981035,-73.97493121,DeKalb Ave & S Portland Ave
