,start,end,weight
static,S_0,S_5,1.0
static,S_0,S_8,1.0
static,S_0,S_9,1.0
static,S_0,S_14,1.0
static,S_0,S_22,1.0
static,S_0,S_25,1.0
static,S_0,S_41,1.0
static,S_0,S_51,1.0
static,S_0,S_96,1.0
static,S_0,S_103,1.0
static,S_0,S_104,1.0
static,S_0,S_127,1.0
static,S_0,S_135,1.0
static,S_0,S_141,1.0
static,S_0,S_151,1.0
static,S_0,S_248,1.0
static,S_0,S_255,1.0
static,S_0,S_265,1.0
static,S_0,S_272,1.0
static,S_0,S_274,1.0
static,S_0,S_301,1.0
static,S_0,S_304,1.0
static,S_0,S_451,1.0
static,S_0,S_465,1.0
static,S_0,S_470,1.0
static,S_0,S_474,1.0
static,S_0,S_496,1.0
static,S_1,S_13,1.0
static,S_1,S_14,1.0
static,S_1,S_15,1.0
static,S_1,S_16,1.0
static,S_1,S_22,1.0
static,S_1,S_28,1.0
static,S_1,S_30,1.0
static,S_1,S_43,1.0
static,S_1,S_47,1.0
static,S_1,S_48,1.0
static,S_1,S_59,1.0
static,S_1,S_69,1.0
static,S_1,S_70,1.0
static,S_1,S_72,1.0
static,S_1,S_73,1.0
static,S_1,S_74,1.0
static,S_1,S_79,1.0
static,S_1,S_81,1.0
static,S_1,S_82,1.0
static,S_1,S_87,1.0
static,S_1,S_94,1.0
static,S_1,S_123,1.0
static,S_1,S_124,1.0
static,S_1,S_125,1.0
static,S_1,S_126,1.0
static,S_1,S_129,1.0
static,S_1,S_136,1.0
static,S_1,S_137,1.0
static,S_1,S_138,1.0
static,S_1,S_151,1.0
static,S_1,S_161,1.0
static,S_1,S_162,1.0
static,S_1,S_163,1.0
static,S_1,S_167,1.0
static,S_1,S_170,1.0
static,S_1,S_173,1.0
static,S_1,S_174,1.0
static,S_1,S_179,1.0
static,S_1,S_181,1.0
static,S_1,S_182,1.0
static,S_1,S_197,1.0
static,S_1,S_199,1.0
static,S_1,S_211,1.0
static,S_1,S_218,1.0
static,S_1,S_230,1.0
static,S_1,S_234,1.0
static,S_1,S_236,1.0
static,S_1,S_239,1.0
static,S_1,S_276,1.0
static,S_1,S_279,1.0
